id_sedziego	pozycja	ladowanie	wrazenie	skok	odleglosc	id_zawodnika
2	6	5	6	2	105	4
3	4	5	7	2	105	4
4	3	4	7	2	105	4
5	4	6	4	2	105	4
1	4	6	7	2	109	5
2	6	6	7	2	109	5
3	4	4	6	2	109	5
4	4	4	7	2	109	5
5	3	6	4	2	109	5
1	6	5	4	2	128	6
2	5	6	6	2	128	6
3	3	4	7	2	128	6
4	3	7	6	2	128	6
5	3	6	7	2	128	6
1	6	5	5	2	140	7
2	6	5	7	2	140	7
3	5	5	6	2	140	7
4	3	4	4	2	140	7
5	4	4	7	2	140	7
1	5	5	6	2	93	8
2	3	4	4	2	93	8
3	6	7	4	2	93	8
4	6	5	5	2	93	8
5	4	7	5	2	93	8
1	6	5	4	2	142	9
2	3	5	5	2	142	9
3	3	6	6	2	142	9
4	6	6	6	2	142	9
5	3	4	6	2	142	9
1	5	6	7	2	116	10
2	3	4	7	2	116	10
3	4	5	7	2	116	10
4	6	4	6	2	116	10
5	3	6	7	2	116	10
1	6	4	5	2	96	11
2	6	7	4	2	96	11
3	5	7	7	2	96	11
4	5	7	5	2	96	11
5	5	7	5	2	96	11
1	3	4	7	2	101	12
2	3	4	4	2	101	12
3	3	4	6	2	101	12
4	4	7	6	2	101	12
5	4	7	4	2	101	12
1	5	5	6	2	134	13
2	5	6	7	2	134	13
3	6	5	6	2	134	13
4	4	4	6	2	134	13
5	5	4	4	2	134	13
1	5	5	7	2	138	14
2	4	5	6	2	138	14
3	4	5	5	2	138	14
4	5	6	4	2	138	14
5	6	5	7	2	138	14
1	5	6	7	2	96	15
2	3	4	4	2	96	15
3	6	6	5	2	96	15
4	5	4	7	2	96	15
5	6	5	6	2	96	15
1	3	6	6	2	145	16
2	4	7	5	2	145	16
3	6	7	7	2	145	16
4	4	6	7	2	145	16
5	5	5	4	2	145	16
1	4	7	4	2	124	17
2	4	4	5	2	124	17
3	5	4	5	2	124	17
4	5	4	4	2	124	17
5	6	5	5	2	124	17
1	4	7	5	2	123	18
2	6	5	4	2	123	18
3	5	4	7	2	123	18
4	4	4	6	2	123	18
5	3	5	7	2	123	18
1	5	6	6	2	113	19
2	6	5	6	2	113	19
3	6	6	6	2	113	19
4	3	5	6	2	113	19
5	4	5	5	2	113	19
1	6	4	5	2	109	20
2	5	6	6	2	109	20
3	4	6	4	2	109	20
4	5	7	7	2	109	20
5	4	4	7	2	109	20
1	5	6	4	2	116	21
2	4	6	7	2	116	21
3	6	4	7	2	116	21
4	6	6	6	2	116	21
5	6	6	7	2	116	21
1	5	4	5	2	115	22
2	5	7	5	2	115	22
3	5	7	6	2	115	22
4	6	5	6	2	115	22
5	6	7	6	2	115	22
1	5	6	4	2	105	23
2	3	5	6	2	105	23
3	3	7	6	2	105	23
4	4	4	7	2	105	23
5	6	4	4	2	105	23
1	6	6	4	2	97	24
2	5	7	5	2	97	24
3	5	6	7	2	97	24
4	5	4	4	2	97	24
5	6	7	5	2	97	24
1	3	6	6	2	121	25
2	6	6	7	2	121	25
3	3	5	5	2	121	25
4	6	6	7	2	121	25
5	3	7	6	2	121	25
1	6	5	6	2	134	26
2	4	6	5	2	134	26
3	6	4	4	2	134	26
4	5	5	6	2	134	26
5	5	6	6	2	134	26
1	6	4	5	2	91	27
2	3	6	5	2	91	27
3	4	4	5	2	91	27
4	6	6	5	2	91	27
5	3	5	6	2	91	27
1	4	4	4	2	109	28
2	4	4	6	2	109	28
3	4	4	4	2	109	28
4	4	5	5	2	109	28
5	6	7	5	2	109	28
1	3	7	7	2	123	29
2	3	4	4	2	123	29
3	4	6	6	2	123	29
4	6	7	4	2	123	29
5	5	7	5	2	123	29
1	6	7	7	2	126	30
2	5	5	7	2	126	30
3	4	7	4	2	126	30
4	5	5	6	2	126	30
5	6	6	4	2	126	30
1	5	6	6	2	118	31
2	3	7	4	2	118	31
3	6	6	6	2	118	31
4	3	7	5	2	118	31
5	4	7	6	2	118	31
1	5	5	4	2	106	32
2	5	7	7	2	106	32
3	6	5	6	2	106	32
4	5	7	7	2	106	32
5	3	5	6	2	106	32
1	6	5	7	2	128	33
2	3	5	6	2	128	33
3	5	6	5	2	128	33
4	5	5	6	2	128	33
5	3	4	4	2	128	33
1	4	5	6	2	114	34
2	6	5	7	2	114	34
3	5	7	7	2	114	34
4	4	5	7	2	114	34
5	3	5	6	2	114	34
1	5	6	6	2	138	35
2	5	5	5	2	138	35
3	4	6	4	2	138	35
4	3	5	5	2	138	35
5	5	4	4	2	138	35
1	5	4	6	2	129	36
2	6	5	6	2	129	36
3	3	4	6	2	129	36
4	4	7	6	2	129	36
5	3	7	4	2	129	36
1	5	7	7	2	138	37
2	5	4	4	2	138	37
3	6	5	7	2	138	37
4	4	6	7	2	138	37
5	4	7	6	2	138	37
1	6	4	5	2	139	38
2	3	7	6	2	139	38
3	4	5	5	2	139	38
4	6	5	4	2	139	38
5	6	6	4	2	139	38
1	6	7	7	2	120	39
2	4	4	7	2	120	39
3	6	5	5	2	120	39
4	5	6	7	2	120	39
5	3	6	6	2	120	39
1	3	6	5	2	111	40
2	5	6	6	2	111	40
3	6	5	4	2	111	40
4	6	5	4	2	111	40
5	5	7	7	2	111	40
1	6	4	5	2	129	41
2	3	7	4	2	129	41
3	5	7	5	2	129	41
4	3	6	5	2	129	41
5	3	6	7	2	129	41
1	3	7	7	2	112	42
2	5	7	7	2	112	42
3	5	4	7	2	112	42
4	5	6	4	2	112	42
5	4	5	4	2	112	42
1	6	7	4	2	125	43
2	4	4	5	2	125	43
3	3	5	6	2	125	43
4	6	7	5	2	125	43
5	3	7	7	2	125	43
1	5	7	4	2	104	44
2	3	4	4	2	104	44
3	3	4	7	2	104	44
4	6	7	6	2	104	44
5	5	4	6	2	104	44
1	6	7	5	2	140	45
2	6	7	6	2	140	45
3	4	4	4	2	140	45
4	6	5	6	2	140	45
5	5	5	5	2	140	45
1	5	4	5	2	111	46
2	6	5	7	2	111	46
3	5	5	4	2	111	46
4	5	7	7	2	111	46
5	4	6	6	2	111	46
1	6	6	6	2	112	47
2	3	5	4	2	112	47
3	5	5	7	2	112	47
4	3	7	5	2	112	47
5	4	5	4	2	112	47
1	6	7	6	2	145	48
2	4	5	5	2	145	48
3	6	6	5	2	145	48
4	4	6	4	2	145	48
5	4	4	6	2	145	48
1	3	7	5	2	139	49
2	6	4	6	2	139	49
3	4	5	6	2	139	49
4	5	6	4	2	139	49
5	6	6	5	2	139	49
1	3	6	5	2	131	50
2	6	4	4	2	131	50
3	3	6	4	2	131	50
4	6	5	4	2	131	50
5	6	6	6	2	131	50
1	4	6	5	2	96	51
2	3	7	5	2	96	51
3	3	6	7	2	96	51
4	6	4	7	2	96	51
5	5	7	7	2	96	51
1	4	6	7	2	136	52
2	6	4	7	2	136	52
3	4	7	7	2	136	52
4	4	4	5	2	136	52
5	3	6	4	2	136	52
1	5	7	6	2	95	53
2	6	6	7	2	95	53
3	6	6	4	2	95	53
4	5	5	4	2	95	53
5	3	4	6	2	95	53
1	4	7	4	2	142	54
2	4	4	5	2	142	54
3	5	7	5	2	142	54
4	4	7	7	2	142	54
5	3	7	7	2	142	54
1	6	7	4	2	123	55
2	3	7	6	2	123	55
3	5	4	7	2	123	55
4	6	7	4	2	123	55
5	5	5	5	2	123	55
1	3	4	7	2	123	56
2	4	4	6	2	123	56
3	6	7	4	2	123	56
4	6	6	4	2	123	56
5	4	5	5	2	123	56
1	5	5	7	2	103	57
2	3	6	4	2	103	57
3	5	5	5	2	103	57
4	4	6	6	2	103	57
5	5	4	5	2	103	57
1	4	4	6	2	108	58
2	6	6	5	2	108	58
3	3	5	4	2	108	58
4	4	4	6	2	108	58
5	4	7	5	2	108	58
1	5	7	5	2	117	59
2	4	7	6	2	117	59
3	4	5	7	2	117	59
4	6	7	7	2	117	59
5	3	7	4	2	117	59
1	3	6	5	2	130	60
2	4	6	5	2	130	60
3	4	5	5	2	130	60
4	3	4	5	2	130	60
5	3	6	5	2	130	60
